,web-scraper-order,web-scraper-start-url,nama,caption,ulasan,ulasan_preprocessed,label,sentiment,score,ulasan_tokens,ulasan_tokens_fdist,ulasan_tokens_WSW,ulasan_tokens_stemmed
0,1680415691-1,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Meyrisca,Sejuk-Tenang,keadaan kota kecil ini tenang dg udara yg sejuk semakin kita mengunjungi tempat yg lebih tinggi semakin kita dapat menikmati pemandangan yg lebih indah ada danau ada gunung ada awan dengan jarak dekat ada sunrise,"kota tenang dg udara yg sejuk . mengunjungi yg menikmati pemandangan yg indah . danau , gunung , awan jarak , sunris .....",negative,"[{'label': 'negative', 'score': 0.9249656796455383}]",0.9249656796455384,"['keadaan', 'kota', 'kecil', 'ini', 'tenang', 'dg', 'udara', 'yg', 'sejuk', 'semakin', 'kita', 'mengunjungi', 'tempat', 'yg', 'lebih', 'tinggi', 'semakin', 'kita', 'dapat', 'menikmati', 'pemandangan', 'yg', 'lebih', 'indah', 'ada', 'danau', 'ada', 'gunung', 'ada', 'awan', 'dengan', 'jarak', 'dekat', 'ada', 'sunrise']",<FreqDist with 27 samples and 35 outcomes>,"['kota', 'tenang', 'udara', 'sejuk', 'mengunjungi', 'menikmati', 'pemandangan', 'indah', 'danau', 'gunung', 'awan', 'jarak', 'sunrise']","['kota', 'tenang', 'udara', 'sejuk', 'unjung', 'nikmat', 'pandang', 'indah', 'danau', 'gunung', 'awan', 'jarak', 'sunrise']"
1,1680415691-2,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,wikipedieng,Tempat indah untuk melihat pemandangan hijau,terletak di jawa tengah dataran tinggi dieng menyuguhkan panorama alam yang indah danau warna warni situs bersejarah kawah yang melegenda hingga pendakian ke bukit sikunir untuk menikmati golden sunrise dieng plateau adalah tujuan favorit untuk tahun ini,"terletak jawa , dataran dieng menyuguhkan panorama alam indah . danau warna warni , situ bersejarah , kawah melegenda pendakian bukit sikunir menikmati golden sunris . dieng plateau tujuan favorit .",positive,"[{'label': 'positive', 'score': 0.9080202579498291}]",0.9080202579498292,"['terletak', 'di', 'jawa tengah', 'dataran tinggi', 'dieng', 'menyuguhkan', 'panorama', 'alam', 'yang', 'indah', 'danau', 'warna', 'warni', 'situs', 'bersejarah', 'kawah', 'yang', 'melegenda', 'hingga', 'pendakian', 'ke', 'bukit', 'sikunir', 'untuk', 'menikmati', 'golden', 'sunrise', 'dieng', 'plateau', 'adalah', 'tujuan', 'favorit', 'untuk', 'tahun', 'ini']",<FreqDist with 32 samples and 35 outcomes>,"['terletak', 'jawa tengah', 'dataran tinggi', 'dieng', 'menyuguhkan', 'panorama', 'alam', 'indah', 'danau', 'warna', 'warni', 'situs', 'bersejarah', 'kawah', 'melegenda', 'pendakian', 'bukit', 'sikunir', 'menikmati', 'golden', 'sunrise', 'dieng', 'plateau', 'tujuan', 'favorit']","['letak', 'jawa tengah', 'datar tinggi', 'dieng', 'suguh', 'panorama', 'alam', 'indah', 'danau', 'warna', 'warni', 'situs', 'sejarah', 'kawah', 'legenda', 'daki', 'bukit', 'sikunir', 'nikmat', 'golden', 'sunrise', 'dieng', 'plateau', 'tuju', 'favorit']"
2,1680415691-3,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Danrltf,Lovely place, ke dieng tempat yang luar biasa nice weather good athmosphere pengalaman yang luar biasa bisa explore dieng mulai di tahun ikut acara dieng culture festival naik gunung prau telaga warna batu ratapan angin dll bakalan rindu banget wisata ke dieng bikin candu,"2x dieng . luarbiasa . nice weather . good athmospher . pengalaman explor dieng . 2019 acara dieng cultur festiv . gunung prau , telaga warna , batu ratapan angin . dll . rindu banget wisata dieng . bikin candu .",negative,"[{'label': 'negative', 'score': 0.8472505211830139}]",0.8472505211830139,"['ke', 'dieng', 'tempat', 'yang', 'luar', 'biasa', 'nice', 'weather', 'good', 'athmosphere', 'pengalaman', 'yang', 'luar', 'biasa', 'bisa', 'explore', 'dieng', 'mulai', 'di', 'tahun', 'ikut', 'acara', 'dieng', 'culture', 'festival', 'naik', 'gunung', 'prau', 'telaga', 'warna', 'batu', 'ratapan', 'angin', 'dll', 'bakalan', 'rindu', 'banget', 'wisata', 'ke', 'dieng', 'bikin', 'candu']",<FreqDist with 35 samples and 42 outcomes>,"['dieng', 'nice', 'weather', 'good', 'athmosphere', 'pengalaman', 'explore', 'dieng', 'acara', 'dieng', 'culture', 'festival', 'gunung', 'prau', 'telaga', 'warna', 'batu', 'ratapan', 'angin', 'dll', 'rindu', 'banget', 'wisata', 'dieng', 'candu']","['dieng', 'nice', 'weather', 'good', 'athmosphere', 'alam', 'explore', 'dieng', 'acara', 'dieng', 'culture', 'festival', 'gunung', 'prau', 'telaga', 'warna', 'batu', 'ratap', 'angin', 'dll', 'rindu', 'banget', 'wisata', 'dieng', 'candu']"
3,1680415691-4,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,RentCarJakarta,Rekomendasi liburan disini,dieng adalah dataran tinggi dan terkenal dengan negeri di atas awan karena kita bisa melihat awan berada di bawah kita lokasi wisata di dieng ada beberapa lokasi puncak sikunir batu ratapan telaga warna kawah sikidang candi arjuna dll biasanya rute yang saya tempuh sebelum subuh di mana cuaca dingin sampai ke tulang sudah mendaki puncak sikunir tujuannya melihat matahari terbit setelah itu ke batu ratapan melihat telaga warna dari atas dan sebelumnya bisa lihat theater cerita dieng selanjutnya bisa ke telga warna untuk lebih dekat atau ke kawah sikidang sore bisa main ke kawasan candi arjuna jangan lupa kalo kesini nikmati kuliner mie ongklok carica tempe kemul soal harga jangan khawatir harga relatif murah gak merusak kantong dan utamanya warga disini ramah ramah dieng buat saya ngangenin hampir tiap tahun saya selalu kesini oiya ada yg kelupaan setiap minggu pertama hari jumatsabtu dan minggu selalu ada acara dieng culture festival dcf acaranya ritual pemotongan rambut gimba dan ada music jazz yang di sebut jazz atas awan gimana sensasinya menikmati musik yang slow dengan cuaca dingin hmmmm datang aja  ke dieng best regards kian rental mobil,"dieng ... dataran terken negeri awan awan lokasi wisata dieng lokasi : puncak sikunir , batu ratapan , telaga warna , kawah sikidang , candi arjuna dll rute tempuh subuh cuaca dingin tulang mendaki puncak sikunir tujuannya matahari terbit , batu ratapan telaga warna lihat theater cerita dieng , telga warna kawah sikidang sore main kawasan candi arjuna lupa kalo kesini nikmati kulin mie ongklok , carica , temp kemul , harga khawatir harga relatif murah gak merusak kantong utamanya warga ramah ramah dieng ngangenin kesini oiya yg kelupaan minggu jumat , sabtu minggu acara dieng cultur festiv ( dcf ) acaranya ritual pemotongan rambut gimba music jazz jazz awan gimana sensasinya menikmati musik slow cuaca dingin ? hmmmm aja y dieng best regard kian rental mobil ( 0811-9284-000 )",negative,"[{'label': 'negative', 'score': 0.7701975107192993}]",0.7701975107192993,"['dieng', 'adalah', 'dataran tinggi', 'dan', 'terkenal', 'dengan', 'negeri', 'di', 'atas', 'awan', 'karena', 'kita', 'bisa', 'melihat', 'awan', 'berada', 'di', 'bawah', 'kita', 'lokasi', 'wisata', 'di', 'dieng', 'ada', 'beberapa', 'lokasi', 'puncak', 'sikunir', 'batu', 'ratapan', 'telaga', 'warna', 'kawah', 'sikidang', 'candi', 'arjuna', 'dll', 'biasanya', 'rute', 'yang', 'saya', 'tempuh', 'sebelum', 'subuh', 'di', 'mana', 'cuaca', 'dingin', 'sampai', 'ke', 'tulang', 'sudah', 'mendaki', 'puncak', 'sikunir', 'tujuannya', 'melihat', 'matahari', 'terbit', 'setelah', 'itu', 'ke', 'batu', 'ratapan', 'melihat', 'telaga', 'warna', 'dari', 'atas', 'dan', 'sebelumnya', 'bisa', 'lihat', 'theater', 'cerita', 'dieng', 'selanjutnya', 'bisa', 'ke', 'telga', 'warna', 'untuk', 'lebih', 'dekat', 'atau', 'ke', 'kawah', 'sikidang', 'sore', 'bisa', 'main', 'ke', 'kawasan', 'candi', 'arjuna', 'jangan', 'lupa', 'kalo', 'kesini', 'nikmati', 'kuliner', 'mie', 'ongklok', 'carica', 'tempe', 'kemul', 'soal', 'harga', 'jangan', 'khawatir', 'harga', 'relatif', 'murah', 'gak', 'merusak', 'kantong', 'dan', 'utamanya', 'warga', 'disini', 'ramah', 'ramah', 'dieng', 'buat', 'saya', 'ngangenin', 'hampir', 'tiap', 'tahun', 'saya', 'selalu', 'kesini', 'oiya', 'ada', 'yg', 'kelupaan', 'setiap', 'minggu', 'pertama', 'hari', 'jumatsabtu', 'dan', 'minggu', 'selalu', 'ada', 'acara', 'dieng', 'culture', 'festival', 'dcf', 'acaranya', 'ritual', 'pemotongan', 'rambut', 'gimba', 'dan', 'ada', 'music', 'jazz', 'yang', 'di', 'sebut', 'jazz', 'atas', 'awan', 'gimana', 'sensasinya', 'menikmati', 'musik', 'yang', 'slow', 'dengan', 'cuaca', 'dingin', 'hmmmm', 'datang', 'aja', 'ke', 'dieng', 'best', 'regards', 'kian', 'rental', 'mobil']",<FreqDist with 127 samples and 184 outcomes>,"['dieng', 'dataran tinggi', 'terkenal', 'negeri', 'awan', 'awan', 'lokasi', 'wisata', 'dieng', 'lokasi', 'puncak', 'sikunir', 'batu', 'ratapan', 'telaga', 'warna', 'kawah', 'sikidang', 'candi', 'arjuna', 'dll', 'rute', 'tempuh', 'subuh', 'cuaca', 'dingin', 'tulang', 'mendaki', 'puncak', 'sikunir', 'tujuannya', 'matahari', 'terbit', 'batu', 'ratapan', 'telaga', 'warna', 'lihat', 'theater', 'cerita', 'dieng', 'telga', 'warna', 'kawah', 'sikidang', 'sore', 'main', 'kawasan', 'candi', 'arjuna', 'lupa', 'kesini', 'nikmati', 'kuliner', 'mie', 'ongklok', 'carica', 'tempe', 'kemul', 'harga', 'khawatir', 'harga', 'relatif', 'murah', 'merusak', 'kantong', 'utamanya', 'warga', 'ramah', 'ramah', 'dieng', 'ngangenin', 'kesini', 'oiya', 'kelupaan', 'minggu', 'jumatsabtu', 'minggu', 'acara', 'dieng', 'culture', 'festival', 'dcf', 'acaranya', 'ritual', 'pemotongan', 'rambut', 'gimba', 'music', 'jazz', 'jazz', 'awan', 'gimana', 'sensasinya', 'menikmati', 'musik', 'slow', 'cuaca', 'dingin', 'hmmmm', 'dieng', 'best', 'regards', 'kian', 'rental', 'mobil']","['dieng', 'datar tinggi', 'kenal', 'negeri', 'awan', 'awan', 'lokasi', 'wisata', 'dieng', 'lokasi', 'puncak', 'sikunir', 'batu', 'ratap', 'telaga', 'warna', 'kawah', 'sikidang', 'candi', 'arjuna', 'dll', 'rute', 'tempuh', 'subuh', 'cuaca', 'dingin', 'tulang', 'daki', 'puncak', 'sikunir', 'tuju', 'matahari', 'terbit', 'batu', 'ratap', 'telaga', 'warna', 'lihat', 'theater', 'cerita', 'dieng', 'telga', 'warna', 'kawah', 'sikidang', 'sore', 'main', 'kawasan', 'candi', 'arjuna', 'lupa', 'kesini', 'nikmat', 'kuliner', 'mie', 'ongklok', 'carica', 'tempe', 'kemul', 'harga', 'khawatir', 'harga', 'relatif', 'murah', 'rusak', 'kantong', 'utama', 'warga', 'ramah', 'ramah', 'dieng', 'ngangenin', 'kesini', 'oiya', 'lupa', 'minggu', 'jumatsabtu', 'minggu', 'acara', 'dieng', 'culture', 'festival', 'dcf', 'acara', 'ritual', 'potong', 'rambut', 'gimba', 'music', 'jazz', 'jazz', 'awan', 'gimana', 'sensasi', 'nikmat', 'musik', 'slow', 'cuaca', 'dingin', 'hmmmm', 'dieng', 'best', 'regards', 'kian', 'rental', 'mobil']"
4,1680415691-5,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,travelerpg32,Wisata Alam Awesome,selain suhunya yang dingin wisata candi kawah sikidang dan telaga warnanya menghadirkan pesona wisata alam yang luar biasa pemandangan dari atas bukit dekat kawah di kawah sikidang juga telaga warnaawesome,"suhunya dingin , wisata candi , kawah sikidang , telaga warnanya menghadirkan pesona wisata alam . pemandangan bukit kawah kawah sikidang telaga warna ...... awesom ....",positive,"[{'label': 'positive', 'score': 0.9761555194854736}]",0.9761555194854736,"['selain', 'suhunya', 'yang', 'dingin', 'wisata', 'candi', 'kawah', 'sikidang', 'dan', 'telaga', 'warnanya', 'menghadirkan', 'pesona', 'wisata', 'alam', 'yang', 'luar', 'biasa', 'pemandangan', 'dari', 'atas', 'bukit', 'dekat', 'kawah', 'di', 'kawah', 'sikidang', 'juga', 'telaga', 'warnaawesome']",<FreqDist with 24 samples and 30 outcomes>,"['suhunya', 'dingin', 'wisata', 'candi', 'kawah', 'sikidang', 'telaga', 'warnanya', 'menghadirkan', 'pesona', 'wisata', 'alam', 'pemandangan', 'bukit', 'kawah', 'kawah', 'sikidang', 'telaga', 'warnaawesome']","['suhu', 'dingin', 'wisata', 'candi', 'kawah', 'sikidang', 'telaga', 'warna', 'hadir', 'pesona', 'wisata', 'alam', 'pandang', 'bukit', 'kawah', 'kawah', 'sikidang', 'telaga', 'warnaawesome']"
5,1680415691-6,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,banyumilijohar,Banyumili Johar syariah dieng,full house bedroompenginapan rumah kayu yang tepat berada dekat dengan area wisata yang ada di dieng nikmati weekend dengan menginap di banyumili johar beserta keluarga anda,full hous 3 bedroom.penginapan rumah kayu area wisata dieng .nikmati weekend menginap banyumili johar beserta keluarga,negative,"[{'label': 'negative', 'score': 0.9554328918457031}]",0.9554328918457032,"['full', 'house', 'bedroompenginapan', 'rumah', 'kayu', 'yang', 'tepat', 'berada', 'dekat', 'dengan', 'area', 'wisata', 'yang', 'ada', 'di', 'dieng', 'nikmati', 'weekend', 'dengan', 'menginap', 'di', 'banyumili', 'johar', 'beserta', 'keluarga', 'anda']",<FreqDist with 23 samples and 26 outcomes>,"['full', 'house', 'bedroompenginapan', 'rumah', 'kayu', 'area', 'wisata', 'dieng', 'nikmati', 'weekend', 'menginap', 'banyumili', 'johar', 'beserta', 'keluarga']","['full', 'house', 'bedroompenginapan', 'rumah', 'kayu', 'area', 'wisata', 'dieng', 'nikmat', 'weekend', 'inap', 'banyumili', 'johar', 'serta', 'keluarga']"
6,1680415691-7,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,sonyliem,Indah dan menakjubkan,berada di daerah dingin dan tinggi perjalanan dari kota wonosobo ke dieng sendiri cukup lama apalagi jika macet di dieng ada beberapa tempat wisata dan berbeda arah jadi mesti ditentukan tujuan utama nya kemana dan mesti dikunjungi lebih dahulu karena berada di daerah tinggi kawasan ini mudah hujan jadi disarankan sepagi mungkin sudah di lokasi karena siang atau sore hari seringkali hujan tujuan wisata mesti ditetapkan sebelumnya karena di tiap wisata akan ada tiket masuk meskipun kelihatannya kecil tetapi jika perginya rombongan nilainya akan jadi lumayan besarapalagi jika kita mau pergi ke semua lokasi obyek wisata dieng dimiliki oleh pemerintah daerah jadi masing masing mengutip biaya utk masuk utk pendapatan mereka sebenarnya akan lebih baik jika pemda yg berkaitan membentuk badan bersama sehingga biaya masuk utk turis lebih ringan jika mau ke beberapa lokasi oh ya biaya untuk turis asing lebih mahal beberapa kali lipat mungkin itu sebabnya tidak banyak orang asing kesana atau mungkin karena turis asing lebih mencari tempat yang panas atau hangat,"daerah dingin . perjalanan kota wonosobo dieng , macet . dieng wisata berbeda arah . mesti ditentukan tujuan utama nya kemana mesti dikunjungi . daerah , kawasan mudah hujan . disarankan sepagi lokasi , siang sore seringkali hujan . tujuan wisata mesti ditetapkan wisata tiket masuk . , perginya rombongan , nilainya lumayan .. pergi lokasi . obyek wisata dieng dimiliki 2-3 pemerintah daerah , mengutip biaya utk masuk utk pendapatan . pemda yg berkaitan membentuk badan biaya masuk utk turi ringan lokasi . oh ya , biaya turi ase mahal kali lipat . orang ase kesana .. turi ase mencari pana hangat .",negative,"[{'label': 'negative', 'score': 0.9866943359375}]",0.9866943359375,"['berada', 'di', 'daerah', 'dingin', 'dan', 'tinggi', 'perjalanan', 'dari', 'kota', 'wonosobo', 'ke', 'dieng', 'sendiri', 'cukup', 'lama', 'apalagi', 'jika', 'macet', 'di', 'dieng', 'ada', 'beberapa', 'tempat', 'wisata', 'dan', 'berbeda', 'arah', 'jadi', 'mesti', 'ditentukan', 'tujuan', 'utama', 'nya', 'kemana', 'dan', 'mesti', 'dikunjungi', 'lebih', 'dahulu', 'karena', 'berada', 'di', 'daerah', 'tinggi', 'kawasan', 'ini', 'mudah', 'hujan', 'jadi', 'disarankan', 'sepagi', 'mungkin', 'sudah', 'di', 'lokasi', 'karena', 'siang', 'atau', 'sore', 'hari', 'seringkali', 'hujan', 'tujuan', 'wisata', 'mesti', 'ditetapkan', 'sebelumnya', 'karena', 'di', 'tiap', 'wisata', 'akan', 'ada', 'tiket', 'masuk', 'meskipun', 'kelihatannya', 'kecil', 'tetapi', 'jika', 'perginya', 'rombongan', 'nilainya', 'akan', 'jadi', 'lumayan', 'besarapalagi', 'jika', 'kita', 'mau', 'pergi', 'ke', 'semua', 'lokasi', 'obyek', 'wisata', 'dieng', 'dimiliki', 'oleh', 'pemerintah', 'daerah', 'jadi', 'masing', 'masing', 'mengutip', 'biaya', 'utk', 'masuk', 'utk', 'pendapatan', 'mereka', 'sebenarnya', 'akan', 'lebih', 'baik', 'jika', 'pemda', 'yg', 'berkaitan', 'membentuk', 'badan', 'bersama', 'sehingga', 'biaya', 'masuk', 'utk', 'turis', 'lebih', 'ringan', 'jika', 'mau', 'ke', 'beberapa', 'lokasi', 'oh', 'ya', 'biaya', 'untuk', 'turis', 'asing', 'lebih', 'mahal', 'beberapa', 'kali', 'lipat', 'mungkin', 'itu', 'sebabnya', 'tidak', 'banyak', 'orang', 'asing', 'kesana', 'atau', 'mungkin', 'karena', 'turis', 'asing', 'lebih', 'mencari', 'tempat', 'yang', 'panas', 'atau', 'hangat']",<FreqDist with 106 samples and 165 outcomes>,"['daerah', 'dingin', 'perjalanan', 'kota', 'wonosobo', 'dieng', 'macet', 'dieng', 'wisata', 'berbeda', 'arah', 'mesti', 'ditentukan', 'tujuan', 'utama', 'kemana', 'mesti', 'dikunjungi', 'daerah', 'kawasan', 'mudah', 'hujan', 'disarankan', 'sepagi', 'lokasi', 'siang', 'sore', 'seringkali', 'hujan', 'tujuan', 'wisata', 'mesti', 'ditetapkan', 'wisata', 'tiket', 'masuk', 'perginya', 'rombongan', 'nilainya', 'lumayan', 'besarapalagi', 'pergi', 'lokasi', 'obyek', 'wisata', 'dieng', 'dimiliki', 'pemerintah', 'daerah', 'mengutip', 'biaya', 'masuk', 'pendapatan', 'pemda', 'berkaitan', 'membentuk', 'badan', 'biaya', 'masuk', 'turis', 'ringan', 'lokasi', 'oh', 'biaya', 'turis', 'asing', 'mahal', 'kali', 'lipat', 'orang', 'asing', 'kesana', 'turis', 'asing', 'mencari', 'panas', 'hangat']","['daerah', 'dingin', 'jalan', 'kota', 'wonosobo', 'dieng', 'macet', 'dieng', 'wisata', 'beda', 'arah', 'mesti', 'tentu', 'tuju', 'utama', 'mana', 'mesti', 'kunjung', 'daerah', 'kawasan', 'mudah', 'hujan', 'saran', 'pagi', 'lokasi', 'siang', 'sore', 'seringkali', 'hujan', 'tuju', 'wisata', 'mesti', 'tetap', 'wisata', 'tiket', 'masuk', 'pergi', 'rombong', 'nilai', 'lumayan', 'besarapalagi', 'pergi', 'lokasi', 'obyek', 'wisata', 'dieng', 'milik', 'perintah', 'daerah', 'kutip', 'biaya', 'masuk', 'dapat', 'pemda', 'kait', 'bentuk', 'badan', 'biaya', 'masuk', 'turis', 'ringan', 'lokasi', 'oh', 'biaya', 'turis', 'asing', 'mahal', 'kali', 'lipat', 'orang', 'asing', 'kesana', 'turis', 'asing', 'cari', 'panas', 'hangat']"
7,1680415691-8,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Lisiatraveler,Dataran tinggi dieng,dieng plateautelaga warnakawah sikidang and many moredan warung makan dps ayamnya cukup rekomendasi deh,"dieng plateau , telaga warna , kawah sikidang and mani more.dan warung makan dp , ayamnya rekomendasi deh",negative,"[{'label': 'negative', 'score': 0.8618779182434082}]",0.8618779182434082,"['dieng', 'plateautelaga', 'warnakawah', 'sikidang', 'and', 'many', 'moredan', 'warung', 'makan', 'dps', 'ayamnya', 'cukup', 'rekomendasi', 'deh']",<FreqDist with 14 samples and 14 outcomes>,"['dieng', 'plateautelaga', 'warnakawah', 'sikidang', 'and', 'many', 'moredan', 'warung', 'makan', 'dps', 'ayamnya', 'rekomendasi', 'deh']","['dieng', 'plateautelaga', 'warnakawah', 'sikidang', 'and', 'many', 'moredan', 'warung', 'makan', 'dps', 'ayam', 'rekomendasi', 'deh']"
8,1680415691-9,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,yudhip1970,Bersama si encum naik gunung,pengalaman pertama dan luar biasa dengan menempuh jarak kurang lebih km dari depok menuju dieng wonosobo melihat pemandangan pegunungan dengan jalan tanjakan membuat perjalanan kami sangat berkesan ditambah baru pertama naik dieng menambah sensasi tersendiri pulang dari dieng menuju tuban dengan jarang tempuh kurang lebih km menyusuri pegunungan merbabu,"pengalaman menempuh jarak 400 km depok dieng wonosobo . pemandangan pegunungan jalan tanjakan perjalanan berkesan , ditambah dieng menambah sensasi tersendiri . pulang dieng tuban jarang tempuh 400 km menyusuri pegunungan merbabu .",negative,"[{'label': 'negative', 'score': 0.72066730260849}]",0.72066730260849,"['pengalaman', 'pertama', 'dan', 'luar', 'biasa', 'dengan', 'menempuh', 'jarak', 'kurang', 'lebih', 'km', 'dari', 'depok', 'menuju', 'dieng', 'wonosobo', 'melihat', 'pemandangan', 'pegunungan', 'dengan', 'jalan', 'tanjakan', 'membuat', 'perjalanan', 'kami', 'sangat', 'berkesan', 'ditambah', 'baru', 'pertama', 'naik', 'dieng', 'menambah', 'sensasi', 'tersendiri', 'pulang', 'dari', 'dieng', 'menuju', 'tuban', 'dengan', 'jarang', 'tempuh', 'kurang', 'lebih', 'km', 'menyusuri', 'pegunungan', 'merbabu']",<FreqDist with 38 samples and 49 outcomes>,"['pengalaman', 'menempuh', 'jarak', 'km', 'depok', 'dieng', 'wonosobo', 'pemandangan', 'pegunungan', 'jalan', 'tanjakan', 'perjalanan', 'berkesan', 'ditambah', 'dieng', 'menambah', 'sensasi', 'tersendiri', 'pulang', 'dieng', 'tuban', 'jarang', 'tempuh', 'km', 'menyusuri', 'pegunungan', 'merbabu']","['alam', 'tempuh', 'jarak', 'km', 'depok', 'dieng', 'wonosobo', 'pandang', 'gunung', 'jalan', 'tanjak', 'jalan', 'kesan', 'tambah', 'dieng', 'tambah', 'sensasi', 'sendiri', 'pulang', 'dieng', 'tuban', 'jarang', 'tempuh', 'km', 'susur', 'gunung', 'merbabu']"
9,1680415691-10,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Mitra P,Best Place for stay,salah satu tempat berlibur terbaik di pulau jawa banyak spot dan angle photo yg menarik tempat parkir sangat memadai penduduk dan para penjual makanan di sekitar sikunir sangat ramah,salah berlibur terbaik pulau jawa . spot angl photo yg menarik . parkir memadai . penduduk penjual makanan sikunir ramah,negative,"[{'label': 'negative', 'score': 0.9393324851989746}]",0.9393324851989746,"['salah', 'satu', 'tempat', 'berlibur', 'terbaik', 'di', 'pulau', 'jawa', 'banyak', 'spot', 'dan', 'angle', 'photo', 'yg', 'menarik', 'tempat', 'parkir', 'sangat', 'memadai', 'penduduk', 'dan', 'para', 'penjual', 'makanan', 'di', 'sekitar', 'sikunir', 'sangat', 'ramah']",<FreqDist with 25 samples and 29 outcomes>,"['salah', 'berlibur', 'terbaik', 'pulau', 'jawa', 'spot', 'angle', 'photo', 'menarik', 'parkir', 'memadai', 'penduduk', 'penjual', 'makanan', 'sikunir', 'ramah']","['salah', 'libur', 'baik', 'pulau', 'jawa', 'spot', 'angle', 'photo', 'tarik', 'parkir', 'pada', 'duduk', 'jual', 'makan', 'sikunir', 'ramah']"
